exp_name,dataset,alpha,lambda_scale,epoch,nfe,fid,status
fteqm_0.40,cifar10,0.4,auto,199,100,10.628437995910645,completed
fteqm_0.40,cifar10,0.4,auto,299,4,54.59273910522461,completed
fteqm_0.40,cifar10,0.4,auto,299,10,10.606398582458496,completed
fteqm_0.40,cifar10,0.4,auto,299,20,8.791646957397461,completed
fteqm_0.40,cifar10,0.4,auto,299,50,9.557927131652832,completed
fteqm_0.40,cifar10,0.4,auto,299,100,9.232870101928711,completed
fteqm_0.40,cifar10,0.4,auto,399,4,59.13428497314453,completed
fteqm_0.40,cifar10,0.4,auto,399,10,13.328060150146484,completed
fteqm_0.40,cifar10,0.4,auto,399,20,9.659073829650879,completed
fteqm_0.40,cifar10,0.4,auto,399,50,9.49459457397461,completed
fteqm_0.40,cifar10,0.4,auto,399,100,9.250337600708008,completed
fteqm_0.40,cifar10,0.4,auto,499,4,58.92215347290039,completed
fteqm_0.40,cifar10,0.4,auto,499,10,10.434640884399414,completed
fteqm_0.40,cifar10,0.4,auto,499,20,6.792316436767578,completed
fteqm_0.40,cifar10,0.4,auto,499,50,7.294909954071045,completed
fteqm_0.40,cifar10,0.4,auto,499,100,7.5686235427856445,completed
fteqm_0.40,cifar10,0.4,auto,599,4,55.05231857299805,completed
fteqm_0.40,cifar10,0.4,auto,599,10,13.438983917236328,completed
fteqm_0.40,cifar10,0.4,auto,599,20,8.460503578186035,completed
fteqm_0.40,cifar10,0.4,auto,599,50,7.21940803527832,completed
fteqm_0.40,cifar10,0.4,auto,599,100,7.054587364196777,completed
fteqm_0.40,cifar10,0.4,auto,699,4,45.7421989440918,completed
fteqm_0.40,cifar10,0.4,auto,699,10,7.495832443237305,completed
fteqm_0.40,cifar10,0.4,auto,699,20,5.051487445831299,completed
fteqm_0.40,cifar10,0.4,auto,699,50,5.274171352386475,completed
fteqm_0.40,cifar10,0.4,auto,699,100,5.287413120269775,completed
fteqm_0.40,cifar10,0.4,auto,799,4,59.03165054321289,completed
fteqm_0.40,cifar10,0.4,auto,799,10,10.770281791687012,completed
fteqm_0.40,cifar10,0.4,auto,799,20,6.354004383087158,completed
fteqm_0.40,cifar10,0.4,auto,799,50,5.957541465759277,completed
fteqm_0.40,cifar10,0.4,auto,799,100,5.977993965148926,completed
fteqm_0.40,cifar10,0.4,auto,899,4,48.97516632080078,completed
fteqm_0.40,cifar10,0.4,auto,899,10,6.3607683181762695,completed
fteqm_0.40,cifar10,0.4,auto,899,20,4.79524040222168,completed
fteqm_0.40,cifar10,0.4,auto,899,50,5.08454704284668,completed
fteqm_0.40,cifar10,0.4,auto,899,100,4.796908378601074,completed
fteqm_0.45,cifar10,0.45,auto,99,4,42.91455841064453,completed
fteqm_0.45,cifar10,0.45,auto,99,10,18.2558650970459,completed
fteqm_0.45,cifar10,0.45,auto,99,20,17.12446403503418,completed
fteqm_0.45,cifar10,0.45,auto,99,50,15.5099458694458,completed
fteqm_0.45,cifar10,0.45,auto,99,100,15.14916706085205,completed
fteqm_0.45,cifar10,0.45,auto,199,4,36.27387619018555,completed
fteqm_0.45,cifar10,0.45,auto,199,10,12.438752174377441,completed
fteqm_0.45,cifar10,0.45,auto,199,20,11.076410293579102,completed
fteqm_0.45,cifar10,0.45,auto,199,50,10.370625495910645,completed
fteqm_0.45,cifar10,0.45,auto,199,100,10.22152042388916,completed
fteqm_0.45,cifar10,0.45,auto,299,4,38.07433319091797,completed
fteqm_0.45,cifar10,0.45,auto,299,10,10.361315727233887,completed
fteqm_0.45,cifar10,0.45,auto,299,20,9.273287773132324,completed
fteqm_0.45,cifar10,0.45,auto,299,50,9.261431694030762,completed
fteqm_0.45,cifar10,0.45,auto,299,100,9.279634475708008,completed
fteqm_0.45,cifar10,0.45,auto,399,4,26.9119930267334,completed
