run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group
trig_vp_uniform_euler:ep499:nfe10:is_mean,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,10,10,12500,12500,is_mean,8.625133514404297,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe10:is_std,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,10,10,12500,12500,is_std,0.057416800409555435,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe20:fid,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,20,20,12500,12500,fid,14.100332260131836,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe20:is_mean,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,20,20,12500,12500,is_mean,9.545722961425781,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe20:is_std,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,20,20,12500,12500,is_std,0.12012431025505066,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe50:fid,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,50,50,12500,12500,fid,6.252208709716797,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe50:is_mean,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,50,50,12500,12500,is_mean,9.11264705657959,completed,ft_clock_solver_sensitivity
trig_vp_uniform_euler:ep499:nfe50:is_std,trig_vp_uniform_euler,cifar10,0,eval,499,trig_vp,uniform,none,,euler,50,50,12500,12500,is_std,0.13155315816402435,completed,ft_clock_solver_sensitivity
trig_vp_uniform_heun2:ep499:nfe4:fid,trig_vp_uniform_heun2,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,4,2,12500,12500,fid,138.99465942382812,completed,ft_clock_solver_sensitivity
trig_vp_uniform_heun2:ep499:nfe4:is_mean,trig_vp_uniform_heun2,cifar10,0,eval,499,trig_vp,uniform,none,,heun2,4,2,12500,12500,is_mean,4.117438316345215,completed,ft_clock_solver_sensitivity
